# Nodes: 24 Edges: 276
Source,Target,Weight
Student 1,Student 2,2
Student 1,Student 3,1
Student 1,Student 4,2
Student 1,Student 5,2
Student 1,Student 6,1
Student 1,Student 7,2
Student 1,Student 8,2
Student 1,Student 9,2
Student 1,Student 10,2
Student 1,Student 11,2
Student 1,Student 12,2
Student 1,Student 13,2
Student 1,Student 14,1
Student 1,Student 15,1
Student 1,Student 16,2
Student 1,Student 17,2
Student 1,Student 18,2
Student 1,Student 19,2
Student 1,Student 20,2
Student 1,Student 21,2
Student 1,Student 22,2
Student 1,Student 23,2
Student 1,Student 24,1
Student 2,Student 3,1
Student 2,Student 4,3
Student 2,Student 5,3
Student 2,Student 6,2
Student 2,Student 7,3
Student 2,Student 8,3
Student 2,Student 9,2
Student 2,Student 10,3
Student 2,Student 11,3
Student 2,Student 12,3
Student 2,Student 13,3
Student 2,Student 14,2
Student 2,Student 15,2
Student 2,Student 16,3
Student 2,Student 17,3
Student 2,Student 18,3
Student 2,Student 19,2
Student 2,Student 20,3
Student 2,Student 21,2
Student 2,Student 22,3
Student 2,Student 23,3
Student 2,Student 24,2
Student 3,Student 4,1
Student 3,Student 5,1
Student 3,Student 6,1
Student 3,Student 7,1
Student 3,Student 8,1
Student 3,Student 9,1
Student 3,Student 10,1
Student 3,Student 11,1
Student 3,Student 12,1
Student 3,Student 13,1
Student 3,Student 14,1
Student 3,Student 15,1
Student 3,Student 16,1
Student 3,Student 17,1
Student 3,Student 18,1
Student 3,Student 19,1
Student 3,Student 20,1
Student 3,Student 21,1
Student 3,Student 22,1
Student 3,Student 23,1
Student 3,Student 24,1
Student 4,Student 5,3
Student 4,Student 6,2
Student 4,Student 7,3
Student 4,Student 8,3
Student 4,Student 9,2
Student 4,Student 10,3
Student 4,Student 11,3
Student 4,Student 12,3
Student 4,Student 13,3
Student 4,Student 14,2
Student 4,Student 15,2
Student 4,Student 16,3
Student 4,Student 17,3
Student 4,Student 18,3
Student 4,Student 19,2
Student 4,Student 20,3
Student 4,Student 21,2
Student 4,Student 22,3
Student 4,Student 23,3
Student 4,Student 24,2
Student 5,Student 6,2
Student 5,Student 7,3
Student 5,Student 8,3
Student 5,Student 9,2
Student 5,Student 10,3
Student 5,Student 11,3
Student 5,Student 12,3
Student 5,Student 13,3
Student 5,Student 14,2
Student 5,Student 15,2
Student 5,Student 16,3
Student 5,Student 17,3
Student 5,Student 18,3
Student 5,Student 19,2
Student 5,Student 20,3
Student 5,Student 21,2
Student 5,Student 22,3
Student 5,Student 23,3
Student 5,Student 24,2
Student 6,Student 7,2
Student 6,Student 8,2
Student 6,Student 9,1
Student 6,Student 10,2
Student 6,Student 11,2
Student 6,Student 12,2
Student 6,Student 13,2
Student 6,Student 14,2
Student 6,Student 15,2
Student 6,Student 16,2
Student 6,Student 17,2
Student 6,Student 18,2
Student 6,Student 19,1
Student 6,Student 20,2
Student 6,Student 21,1
Student 6,Student 22,2
Student 6,Student 23,2
Student 6,Student 24,2
Student 7,Student 8,3
Student 7,Student 9,2
Student 7,Student 10,3
Student 7,Student 11,3
